Elmntkey,Study_Area,Sub_Area,Date Time,Side,Unitdesc,Peak Hour_SDOT,Parking_Spaces,Total_Vehicle_Count,Dp_Count,Rpz_Count,TG_Car2Go,BMW_DN,Lime,Idling,Field Notes,Construction,Event Closure,Subarea Label,Study Year,Peak Hour? (Yes or No),RPZ Blocks,CSM,Time Stamp
77994,South Lake Union,North,9/27/2017 20:00,E,DEXTER AVE N BETWEEN COMSTOCK ST AND LEE ST,,8,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 08:12:00 PM
120805,South Lake Union,North,9/27/2017 20:00,N,ROY ST BETWEEN BROAD W ST AND 8TH AVE N,,0,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:12:00 PM
94677,South Lake Union,North,9/27/2017 20:00,SE,FAIRVIEW NR AVE N BETWEEN ALOHA ST AND WARD ST,,15,11,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:12:00 PM
57990,South Lake Union,North,9/27/2017 20:00,S,ROY ST BETWEEN AURORA AVE N AND DEXTER AVE N,,5,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 08:12:00 PM
13262,South Lake Union,North,9/27/2017 20:00,S,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,,4,5,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 08:12:00 PM
13261,South Lake Union,North,9/27/2017 20:00,N,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,,7,4,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 08:12:00 PM
77990,South Lake Union,North,9/27/2017 20:00,E,DEXTER AVE N BETWEEN HIGHLAND DR AND COMSTOCK ST,,8,7,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 08:11:00 PM
134965,South Lake Union,North,9/27/2017 20:00,E,DEXTER AVE N BETWEEN PROSPECT ST AND HIGHLAND DR,,8,4,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,,ERROR: #N/A,09/27/2017 08:11:00 PM
94611,South Lake Union,North,9/27/2017 20:00,SE,FAIRVIEW NR AVE N BETWEEN WARD ST AND YALE AVE N,,27,15,,,1,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:10:00 PM
77986,South Lake Union,North,9/27/2017 20:00,E,DEXTER AVE N BETWEEN WARD ST AND PROSPECT ST,,11,8,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 08:10:00 PM
94612,South Lake Union,North,9/27/2017 20:00,SE,FAIRVIEW NR AVE N BETWEEN YALE AVE N AND DEAD END,,23,6,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:08:00 PM
76714,South Lake Union,North,9/27/2017 20:00,S,ALOHA ST BETWEEN AURORA AVE N AND DEXTER AVE N,,8,3,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 08:07:00 PM
76713,South Lake Union,North,9/27/2017 20:00,N,ALOHA ST BETWEEN AURORA AVE N AND DEXTER AVE N,,4,1,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 08:07:00 PM
76718,South Lake Union,North,9/27/2017 20:00,S,ALOHA ST BETWEEN DEXTER AVE N AND 8TH AVE N,,8,9,,,,1,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:06:00 PM
59045,South Lake Union,North,9/27/2017 20:00,W,YALE AVE N BETWEEN VALLEY ST AND ALOHA ST,,8,1,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:06:00 PM
